ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
UT002663,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,806.2,13.53,3.0,8.0,117.3,42.0,0.03,2.0
UT002662,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,782.1,13.19,3.0,8.0,117.3,42.0,0.03,2.0
UT002660,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,758.1,12.86,3.0,8.0,117.3,42.0,0.03,2.0
UT002658,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,730.1,12.08,3.0,8.0,117.3,40.0,0.03,2.0
UT002654,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO/C=C/CCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,780.1,13.32,3.0,8.0,117.3,41.0,0.02,2.0
UT002653,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO/C=C/C/C=C\C/C=C\CCCCCCCCCC)COP(=O)(O)OCCN,772.1,12.42,3.0,8.0,117.3,37.0,0.02,2.0
UT002651,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO/C=C/C/C=C\CCCCCCCCCCCCC)COP(=O)(O)OCCN,776.1,12.87,3.0,8.0,117.3,39.0,0.02,2.0
UT002643,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COCCC/C=C\CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,756.1,12.64,3.0,8.0,117.3,41.0,0.03,2.0
UT002638,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(CO/C=C/CCCCCCCCCCCCCC)COP(=O)(O)OCCN,750.1,12.31,3.0,8.0,117.3,38.0,0.02,2.0
UT002632,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,798.1,12.95,3.0,9.0,134.4,42.0,0.03,2.0
UT002631,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,800.2,13.17,3.0,9.0,134.4,43.0,0.03,2.0
UT002629,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\C/C=C\C/C=C\CCCCCCCCC)COP(=O)(O)OCCN,790.1,12.05,3.0,9.0,134.4,38.0,0.03,2.0
UT002628,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\C/C=C\CCCCCCCCCCCC)COP(=O)(O)OCCN,816.1,12.61,3.0,9.0,134.4,39.0,0.03,2.0
UT002627,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,818.1,12.83,3.0,9.0,134.4,40.0,0.03,2.0
UT002626,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,820.1,13.05,3.0,9.0,134.4,41.0,0.03,2.0
UT002625,CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,794.1,12.5,3.0,9.0,134.4,40.0,0.03,2.0
UT002624,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,796.1,12.72,3.0,9.0,134.4,41.0,0.03,2.0
UT002623,CCCCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,798.1,12.95,3.0,9.0,134.4,42.0,0.03,2.0
UT002622,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,772.1,12.39,3.0,9.0,134.4,41.0,0.03,2.0
UT002620,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,782.1,12.33,3.0,9.0,134.4,40.0,0.03,2.0
UT002619,CCCCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,784.1,12.55,3.0,9.0,134.4,41.0,0.03,2.0
UT002618,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,758.1,12.0,3.0,9.0,134.4,40.0,0.03,2.0
UT002616,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\C/C=C\C/C=C\CCCCCCC)COP(=O)(O)OCCN,786.0,11.6,3.0,9.0,134.4,36.0,0.03,2.0
UT002615,CCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,738.0,10.94,3.0,9.0,134.4,36.0,0.03,2.0
UT002613,CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\C/C=C\CCCCCCCCCC)COP(=O)(O)OCCN,762.0,11.27,3.0,9.0,134.4,36.0,0.03,2.0
UT002610,CCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCC)COP(=O)(O)OCCN,794.1,12.5,3.0,9.0,134.4,40.0,0.03,2.0
UT002609,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\CCCCCCCCCCCCCCCCC,800.2,13.17,3.0,9.0,134.4,43.0,0.03,2.0
UT002606,CCCCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCCC)COP(=O)(O)OCCN,770.1,12.16,3.0,9.0,134.4,40.0,0.03,2.0
UT002604,CCCCCCCCCCCCC/C=C\CCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCCC,760.1,12.22,3.0,9.0,134.4,41.0,0.03,2.0
UT002601,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,794.1,12.5,3.0,9.0,134.4,40.0,0.03,2.0
UT002599,CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,766.1,11.72,3.0,9.0,134.4,38.0,0.03,2.0
UT002596,CCCCCCCCCCCCCCC/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,774.1,12.61,3.0,9.0,134.4,42.0,0.03,2.0
UT002595,CCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,742.0,11.38,3.0,9.0,134.4,38.0,0.03,2.0
UT002592,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC,748.1,12.06,3.0,9.0,134.4,41.0,0.04,2.0
UT002590,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCC)COP(=O)(O)OCCN,776.0,11.66,3.0,9.0,134.4,37.0,0.03,2.0
UT002589,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCCC)COP(=O)(O)OCCN,728.0,10.99,3.0,9.0,134.4,37.0,0.03,2.0
UT002587,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,780.1,12.11,3.0,9.0,134.4,39.0,0.03,2.0
UT002585,CCCCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,756.1,11.77,3.0,9.0,134.4,39.0,0.03,2.0
UT002584,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,730.0,11.22,3.0,9.0,134.4,38.0,0.03,2.0
UT002581,CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCC)COP(=O)(O)OCCN,736.0,10.71,3.0,9.0,134.4,35.0,0.03,2.0
UT002579,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\CCCCCCCCCCC)COP(=O)(O)OCCN,714.0,10.6,3.0,9.0,134.4,36.0,0.03,2.0
UT002573,CCCCCCCCCCCCCCC/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,746.1,11.83,3.0,9.0,134.4,40.0,0.03,2.0
UT002572,CCCCCCC/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,714.0,10.6,3.0,9.0,134.4,36.0,0.03,2.0
UT002569,CCCCCCCCCCC/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,690.0,10.27,3.0,9.0,134.4,36.0,0.03,2.0
UT002567,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCC)COP(=O)(O)OCCN,726.0,10.77,3.0,9.0,134.4,36.0,0.03,2.0
UT002523,CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CC/C=C\C/C=C\CCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,804.1,11.38,0.0,9.0,111.2,37.0,0.02,2.0
UT002456,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(C)=O,836.1,12.45,3.0,10.0,151.4,41.0,0.03,3.0
