ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
JP002482,C=CC(=O)CCC=C(C)C,138.2,2.49,0.0,1.0,17.1,4.0,0.43,0.0
JP002481,C=C1CCC(C(=O)OC)CC1O,170.2,0.88,1.0,3.0,46.5,1.0,0.47,2.0
JP002480,CC(C)C1C=CC(=O)CC1,138.2,2.18,0.0,1.0,17.1,1.0,0.54,1.0
JP002479,CC(C)(O)C1CC1,100.2,1.17,1.0,1.0,20.2,1.0,0.52,0.0
JP002478,CC(C)C1CCC(C)(OC(=O)C2CCN(Cc3ccccc3)C2)CC1,343.5,4.66,0.0,3.0,29.5,5.0,0.73,1.0
JP002477,COC(=O)C1CN(CCc2ccccc2)CC1C(=O)OC,291.3,1.12,0.0,5.0,55.8,5.0,0.76,2.0
JP002476,C[Si](C)(C)Cc1ccccc1,164.3,3.11,0.0,0.0,0.0,2.0,0.59,0.0
JP002475,OCC1CCN(Cc2ccccc2)C1,191.3,1.5,1.0,2.0,23.5,3.0,0.78,1.0
JP002474,CC1CCN(Cc2ccccc2)C1,175.3,2.53,0.0,1.0,3.2,2.0,0.67,1.0
JP002473,CC(=O)C1(C)CCC(C)C1(C)C,168.3,3.04,0.0,1.0,17.1,1.0,0.59,2.0
JP002471,C[C@@H]1CC[C@@](C)(C(=O)O)C1(C)C,170.3,2.53,1.0,2.0,37.3,1.0,0.66,2.0
JP002470,C[C@@H](N)c1ccccc1,121.2,1.71,2.0,1.0,26.0,1.0,0.6,1.0
JP002469,COC(=O)C#CC(=O)OC,142.1,-0.66,0.0,4.0,52.6,0.0,0.26,0.0
JP002468,C[Si](C)(C)CI,214.1,2.3,0.0,0.0,0.0,1.0,0.36,0.0
JP002467,COC(=O)[C@H]1CC(C)(C)[C@H]2CCC(=O)[C@@H]12,210.3,1.8,0.0,3.0,43.4,1.0,0.62,3.0
JP002465,C#CC[C@@H](CC[C@H](C)C=C)O[Si](C)(C)C(C)(C)C,266.5,5.0,0.0,1.0,9.2,7.0,0.36,2.0
JP002464,CC1(C)N[C@H](C(=O)O)CS1,161.2,0.51,2.0,3.0,49.3,1.0,0.59,1.0
JP002463,CC(C)(C)OC(=O)N1[C@H](CO)CSC1(C)C,247.4,2.07,1.0,4.0,49.8,1.0,0.77,1.0
